Record_ID,Date,Buyer_ID,Country,Industry,Avg_Order_Tons,Revenue_Size_USD,Team_Size,Certification,Good_Payment_History,Prompt_Response,Hiring_Growth,Funding_Event,Engagement_Spike,SalesNav_ProfileVisits,DecisionMaker_Change,Intent_Score,Preferred_Channel,Response_Probability,Tariff_News,StockMarket_Shock,War_Event,Natural_Calamity,Currency_Fluctuation
15,2022-06-30,BUY_47441,Netherlands,it software,,148373721,3202,SOC2,1,0.88,1,0,0,882,1,0.28,whatsapp,0.1,0,0,0,1,0.29
16,2021-03-31,BUY_12443,Japan,medical devices,615.0,100714600,3462,ISO9001,1,0.86,0,1,1,2720,1,0.75,linkedin,0.51,1,1,1,1,-0.16
17,2024-01-18,BUY_19862,UK,textiles,7641.0,82742166,4456,,1,0.62,0,1,0,18172,1,0.32,whatsapp,0.76,1,0,0,1,0.47
18,2023-04-07,,Japan,textiles,7143.0,104137127,3524,,1,0.76,1,0,0,4629,0,0.02,linkedin,0.7,1,1,1,1,-0.45
19,2023-03-22,BUY_49974,Germany,pharmaceuticals,,174749021,4112,FDA,0,0.81,0,0,1,14661,0,0.97,whatsapp,0.51,1,1,1,0,-0.33
20,2024-02-20,BUY_37978,Italy,machinery,,17722046,1541,ISO9001,1,0.98,0,0,1,17039,0,0.67,linkedin,0.51,0,1,0,1,-0.11
21,2024-08-14,BUY_97828,France,chemicals,,22186895,1505,RoHS,0,0.9,1,1,0,10939,0,0.22,whatsapp,0.51,0,1,0,0,-0.53
22,2021-03-06,BUY_64456,Germany,medical devices,,100762209,4134,,0,0.14,1,1,1,19318,0,0.06,whatsapp,0.51,1,1,1,0,0.76
23,2021-11-27,BUY_97360,France,chemicals,,185643695,3751,ISO14001,1,0.01,0,0,0,10779,0,0.33,call,0.51,0,1,1,0,-0.62
24,2022-11-25,BUY_51889,France,solar,1218.0,110524879,531,IEC,0,0.9,1,Unknown,0,16820,1,0.33,linkedin,0.49,0,0,1,0,0.2
25,2022-07-25,BUY_61693,Germany,machinery,734.0,39224548,4890,,0,0.85,0,1,1,14049,1,0.79,,0.74,1,1,1,0,-0.12
26,2023-06-13,BUY_31039,Netherlands,it software,5647.0,147071170,3993,SOC2,1,0.68,1,Unknown,1,12872,1,0.62,whatsapp,0.87,1,0,0,0,-0.81
27,2024-07-09,BUY_94793,Australia,auto parts,,92381382,3221,,1,0.93,1,1,1,865,1,0.16,whatsapp,0.37,1,1,1,1,0.64
28,2023-06-16,BUY_25757,Netherlands,pharmaceuticals,3920.0,124668788,6398,WHO-GMP,1,0.59,0,0,1,12386,0,0.9,call,0.51,1,1,0,1,-0.91
29,2023-07-05,BUY_85248,Canada,textiles,5730.0,157742656,3112,,1,0.93,1,0,0,14842,0,0.7,call,0.51,0,0,0,1,0.02
30,2022-06-29,BUY_89136,Canada,machinery,7068.0,165092913,3212,ISO9001,1,0.28,1,Unknown,0,6758,0,0.83,call,0.51,1,0,1,1,0.45
31,2023-03-30,BUY_79130,Netherlands,electronics,5531.0,166405030,4848,ISO9001,0,0.52,1,Unknown,1,5628,1,0.02,,0.51,1,0,1,0,-0.62
32,2021-04-27,BUY_60292,Germany,engineering,,86739965,6072,CE,0,0.64,1,Unknown,1,15974,1,0.57,email,0.51,1,0,0,1,0.71
33,2024-07-28,BUY_72424,USA,machinery,,73804829,1318,,1,0.71,0,0,0,15732,0,0.44,email,0.51,1,0,1,0,0.05
34,2021-10-07,,Netherlands,chemicals,3223.0,176379593,4205,,1,0.66,1,Unknown,1,17496,1,0.54,call,0.06,0,1,1,0,-0.55
35,2023-06-01,,Italy,it software,,168110009,3171,GDPR,0,0.04,0,Unknown,0,8608,1,0.14,call,0.51,1,0,0,0,-0.56
36,2022-10-16,BUY_97110,Singapore,machinery,7283.0,83867050,614,ISO9001,1,0.5,0,1,0,6323,1,0.41,linkedin,0.51,1,1,1,0,-0.23
37,2022-10-04,BUY_89236,Singapore,chemicals,4420.0,2971767,2779,ISO14001,0,0.58,1,Unknown,0,16729,0,0.44,call,0.51,0,0,1,0,-0.13
38,2024-07-08,BUY_21575,USA,medical devices,2462.0,30134575,2801,ISO9001,0,0.91,0,0,0,2825,1,0.65,,0.51,0,1,0,0,-0.26
39,2024-02-03,BUY_39869,USA,engineering,,138477114,6702,ISO14001,1,0.83,0,Unknown,1,18956,0,0.78,,0.51,1,1,0,1,-0.4
40,2022-03-04,BUY_89537,Germany,medical devices,2827.0,102230652,2054,,0,0.3,0,Unknown,0,16470,1,0.12,linkedin,0.01,1,0,1,0,-0.47
41,2022-05-03,BUY_41912,Japan,engineering,5980.0,140335547,3209,ISO9001,1,0.77,0,1,0,2858,0,0.42,call,0.67,1,1,1,0,0.79
42,2025-01-07,BUY_29660,UK,medical devices,,69371546,1772,ISO9001,1,0.29,1,1,0,14686,0,0.76,linkedin,0.63,0,1,1,1,0.13
43,2021-07-04,BUY_63247,USA,medical devices,,34705741,1855,ISO9001,1,0.4,0,0,1,15264,0,0.92,email,0.51,0,0,0,0,-0.66
44,2021-06-26,BUY_58814,Australia,pharmaceuticals,,75618508,5654,,0,0.29,1,0,1,15787,1,0.1,email,0.51,1,0,1,0,0.72
45,2024-11-27,BUY_40107,Singapore,auto parts,1083.0,128367759,6458,ISO9001,1,0.78,0,1,0,17299,0,0.69,linkedin,0.51,0,1,0,0,-0.89
46,2022-05-19,BUY_36298,Germany,it software,,131918980,3706,GDPR,0,0.65,0,Unknown,1,1348,1,0.55,whatsapp,0.24,1,0,1,1,0.65
47,2024-07-27,BUY_60221,Netherlands,chemicals,,31482884,1400,,0,0.01,0,1,1,10378,0,0.72,,0.51,0,0,0,1,-0.86
48,2022-05-05,BUY_35192,Germany,textiles,,82463672,6825,,0,0.68,0,Unknown,1,4442,1,0.17,linkedin,0.51,1,1,0,1,0.4
49,2024-01-14,BUY_63568,Canada,chemicals,,142762084,3172,,0,0.79,1,1,1,10350,0,0.08,linkedin,0.51,0,1,1,1,-0.75
50,2024-05-28,BUY_97464,UAE,machinery,,29571742,3176,,1,0.98,1,0,0,497,0,0.65,,0.51,1,1,0,1,-0.51
51,2023-10-03,BUY_48377,Italy,machinery,,84191106,5357,,0,0.59,1,1,1,9068,0,0.87,email,0.7,1,1,0,0,-0.48
52,2022-04-25,BUY_77758,Singapore,textiles,4428.0,169147406,5787,ISO9001,1,0.82,0,0,1,9237,0,0.54,,0.66,0,0,1,1,-0.55
53,2024-02-09,BUY_13714,France,pharmaceuticals,,19833852,6974,FDA,1,0.05,0,Unknown,0,17580,1,0.49,email,0.51,1,0,1,0,-0.7
54,2022-04-01,BUY_37063,UAE,machinery,,143465332,4273,ISO9001,0,0.58,0,1,0,982,1,0.19,,0.91,1,0,0,1,-0.87
55,2024-02-01,BUY_95493,Japan,auto parts,,117381212,1698,,0,0.08,0,0,0,3343,1,0.01,linkedin,0.51,0,1,1,1,0.73
56,2021-08-12,BUY_15899,Italy,it software,,166997687,4838,SOC2,1,0.52,0,1,1,6253,0,0.63,whatsapp,0.51,0,0,1,0,-0.25
57,2022-08-02,BUY_47904,Japan,machinery,,130067806,3484,,0,0.7,1,1,1,17874,0,0.08,,0.85,0,1,0,0,0.56
58,2023-05-20,BUY_28896,Germany,medical devices,,119315005,6733,,1,0.81,0,0,1,101,1,0.47,call,0.46,1,0,0,0,-0.89
59,2024-11-30,BUY_95761,UK,auto parts,1543.0,140899688,512,ISO9001,1,0.64,0,Unknown,1,16190,1,0.34,call,0.17,0,0,0,0,-0.81
60,2023-04-11,BUY_80343,France,pharmaceuticals,,59551210,2238,WHO-GMP,0,0.58,0,Unknown,0,292,0,0.5,call,0.65,0,0,1,0,-0.98
61,2021-07-18,BUY_45259,Italy,machinery,1266.0,12396285,4118,ISO9001,1,0.07,0,1,1,10490,1,0.4,call,0.41,0,1,1,1,-0.04
62,2022-09-09,BUY_96553,UK,machinery,,55406248,628,ISO9001,1,0.33,1,0,0,459,1,0.6,email,0.51,0,0,0,1,-0.31
63,2023-04-22,BUY_61505,Australia,machinery,,74875726,2685,,0,0.51,1,Unknown,1,4669,0,0.89,,0.16,0,1,0,1,-0.36
64,2024-08-18,BUY_53712,Australia,auto parts,6907.0,170139122,585,ISO9001,0,0.5,0,1,1,10222,0,0.91,email,0.51,0,1,1,0,-0.72
65,2021-07-15,BUY_78320,Netherlands,electronics,,87398604,2117,ISO9001,1,0.26,1,1,0,14394,0,0.25,linkedin,0.51,0,1,0,1,0.38
66,2024-03-28,,Australia,auto parts,6800.0,96495836,4812,ISO9001,1,0.84,1,1,0,4715,1,0.74,email,0.51,0,0,1,1,-0.78
67,2024-08-15,BUY_19168,Singapore,chemicals,,139147719,4854,RoHS,0,0.39,0,1,0,10189,0,0.02,linkedin,0.22,0,0,1,0,0.11
68,2022-08-12,BUY_18650,Germany,machinery,,156726210,579,,0,0.81,0,0,0,14307,1,0.89,linkedin,0.22,1,1,1,1,0.16
69,2022-12-16,BUY_19178,Canada,engineering,7971.0,145071116,3633,ISO14001,0,0.15,1,1,1,16885,0,0.83,linkedin,0.51,0,0,0,0,0.4
70,2023-08-28,BUY_67306,Germany,machinery,,161301750,6228,,0,0.44,1,1,0,1875,0,0.07,whatsapp,0.51,1,1,0,1,0.75
71,2022-01-01,BUY_27789,Canada,chemicals,,150275438,2119,ISO14001,1,0.72,0,0,1,1024,1,0.33,,0.51,0,1,0,0,0.77
72,2022-12-16,BUY_73488,Australia,engineering,4694.0,83944201,2867,,1,0.19,0,0,0,12043,0,0.18,email,0.9,1,1,1,0,0.97
73,2022-06-07,BUY_52687,Canada,electronics,3053.0,131375973,198,,0,0.25,1,1,1,3175,0,0.0,call,0.51,0,0,0,1,0.41
74,2022-11-02,BUY_30293,Australia,pharmaceuticals,4885.0,124955242,438,WHO-GMP,1,0.59,1,0,0,15352,0,0.75,whatsapp,0.67,1,1,1,0,0.73
75,2023-12-14,BUY_96386,Singapore,auto parts,,183831701,1440,,0,0.12,0,0,0,4081,1,0.04,whatsapp,0.51,0,0,0,1,-0.17
76,2023-06-30,BUY_51006,USA,engineering,6745.0,13031445,6030,ISO14001,0,0.22,0,Unknown,0,9848,1,0.78,call,0.54,0,0,1,0,-0.33
77,2023-07-25,BUY_66946,UK,electronics,7045.0,7115746,1162,,1,0.17,0,Unknown,0,317,1,0.12,call,0.51,0,0,0,1,-0.23
78,2022-05-01,BUY_20402,France,medical devices,849.0,79350721,6219,,1,0.22,0,0,1,2613,1,0.74,whatsapp,0.79,1,0,1,1,0.66
79,2022-10-15,BUY_97133,Singapore,electronics,,8818294,1490,,0,0.84,0,0,1,14538,1,0.36,call,0.51,0,0,1,1,-0.59
80,2023-11-08,BUY_97050,Singapore,solar,,51491274,6878,UL,1,0.85,0,Unknown,1,5259,1,0.6,email,0.29,1,1,1,1,0.71
81,2022-02-10,BUY_93503,UAE,auto parts,,187183756,1008,ISO9001,1,0.36,1,0,0,141,0,0.03,whatsapp,0.51,1,0,0,0,0.43
82,2022-10-22,BUY_32334,Germany,machinery,,24644866,3038,ISO9001,1,0.63,1,0,1,11489,1,0.79,linkedin,0.34,0,0,0,1,0.6
83,2023-07-20,BUY_30672,Netherlands,solar,,182024423,5842,TUV,1,0.9,1,Unknown,0,15232,1,0.5,linkedin,0.03,1,0,1,1,-0.08
84,2024-09-28,BUY_33049,Canada,solar,,131563485,113,,0,0.05,0,1,1,3326,1,0.92,call,0.68,1,0,0,0,0.57
85,2022-04-22,BUY_81349,UAE,engineering,1680.0,139126831,4901,ISO9001,0,0.19,1,1,0,10910,1,0.52,email,0.51,1,0,1,0,-0.93
86,2022-04-03,BUY_76644,Germany,engineering,,77201402,3238,ISO14001,0,0.86,1,0,1,33,1,0.89,call,0.44,0,0,0,1,-0.02
87,2023-03-31,BUY_77500,Germany,pharmaceuticals,1251.0,54673488,5835,EU-GMP,1,0.1,1,Unknown,1,7236,1,0.08,email,0.51,1,1,1,0,-0.8
88,2024-05-18,BUY_84172,Netherlands,medical devices,,173148666,1960,ISO9001,0,0.64,1,0,1,9555,0,0.61,linkedin,0.51,0,0,0,0,-0.85
89,2022-09-20,BUY_76938,USA,auto parts,,20530659,529,,0,0.27,0,0,1,7390,1,0.6,linkedin,0.68,0,1,1,0,-0.84
90,2023-03-31,BUY_73985,Germany,textiles,,12467283,2715,ISO9001,0,0.6,0,0,1,10165,0,0.56,call,0.51,1,0,1,1,-0.12
91,2023-08-09,BUY_49029,UAE,machinery,,44961466,3483,ISO9001,1,0.29,0,1,0,4709,1,0.85,call,0.51,0,0,0,0,-0.03
92,2021-11-10,BUY_32101,Australia,auto parts,,110913944,5714,ISO9001,1,0.27,0,1,1,4586,0,0.87,linkedin,0.51,1,0,0,0,0.18
93,2024-09-17,,Singapore,textiles,6177.0,154943558,839,ISO9001,1,0.89,1,1,1,18468,1,0.57,linkedin,0.78,0,0,1,1,-0.18
94,2021-09-05,BUY_55719,Italy,pharmaceuticals,601.0,86632456,3297,,1,0.46,1,1,1,6579,0,0.7,,0.51,0,0,1,0,-0.19
95,2024-11-26,BUY_49318,Singapore,medical devices,5342.0,95331465,4852,ISO9001,0,0.32,0,Unknown,1,14155,0,0.15,email,0.51,0,0,0,1,0.41
96,2022-06-28,BUY_95323,UAE,electronics,1898.0,71585700,1544,ISO9001,0,0.87,1,1,0,19106,1,0.56,,0.13,1,1,1,0,0.93
97,2022-09-12,BUY_72770,Italy,auto parts,6414.0,93072318,6235,ISO9001,0,0.76,1,0,1,1887,0,0.51,email,0.51,0,0,0,0,0.16
98,2023-08-30,BUY_69529,UAE,engineering,,176388202,6944,,0,0.36,0,0,1,15292,0,0.23,call,0.51,1,1,0,1,-0.95
99,2023-10-10,BUY_68231,USA,textiles,,124769331,1110,ISO9001,1,0.08,1,0,0,2885,1,0.09,,0.51,1,1,0,0,0.49
100,2022-07-25,BUY_61627,Japan,pharmaceuticals,227.0,132551018,6821,,1,0.67,1,0,0,551,0,0.42,,0.51,0,0,0,1,0.89
101,2024-06-11,BUY_26804,France,textiles,6733.0,115277126,5832,ISO9001,0,0.48,1,0,1,10212,0,0.84,linkedin,0.51,1,0,1,1,-0.43
102,2023-08-19,BUY_22314,Singapore,auto parts,2613.0,106379243,2379,,0,0.8,0,0,1,8041,1,0.39,,0.51,1,0,1,0,0.25
103,2024-04-01,BUY_45350,Germany,solar,5361.0,199858695,1457,UL,1,0.68,0,0,1,19843,0,0.62,whatsapp,0.51,0,1,1,1,-0.57
104,2023-02-19,BUY_80482,Japan,machinery,,12949138,5001,ISO9001,1,0.69,1,1,0,10537,1,0.38,email,0.24,0,1,1,0,0.61
105,2021-04-11,BUY_21228,Australia,medical devices,,80259806,6150,,0,0.17,1,0,0,18410,1,0.54,whatsapp,0.51,0,0,1,1,-0.87
106,2022-01-10,BUY_85943,Germany,engineering,,25122950,227,CE,0,0.01,1,Unknown,0,5439,1,0.32,linkedin,0.57,1,1,0,0,0.54
107,2022-08-22,BUY_92470,USA,engineering,,140326973,6470,CE,1,0.21,1,0,1,19121,0,0.61,whatsapp,0.51,1,1,1,0,-0.32
108,2021-05-03,BUY_37176,UAE,electronics,,3149196,6670,,1,0.04,0,Unknown,0,4274,0,0.5,linkedin,0.62,1,0,1,0,-0.31
109,2023-04-21,BUY_37347,Germany,machinery,,93043304,689,,0,0.71,1,Unknown,0,11639,1,0.89,call,0.51,1,0,1,0,0.99
110,2022-03-21,BUY_92178,Australia,medical devices,,68168748,6752,ISO9001,0,0.26,1,0,0,2400,1,0.37,,0.51,0,0,1,1,0.03
111,2021-02-18,BUY_31106,Singapore,electronics,,109333468,1003,,1,0.67,1,0,1,5842,1,0.52,linkedin,0.51,0,0,0,1,-0.01
112,2021-10-14,BUY_46556,Netherlands,textiles,644.0,110574285,75,,0,0.59,1,1,0,9285,1,0.32,,0.51,0,1,0,1,-0.52
113,2023-02-03,BUY_32300,Canada,machinery,,42806299,1175,,0,0.6,0,Unknown,0,16669,1,0.47,linkedin,0.21,1,0,0,1,-0.1
114,2023-01-15,BUY_41495,Netherlands,machinery,,175867280,225,,0,0.87,0,Unknown,0,4052,1,0.11,call,0.51,1,0,1,1,-0.42
115,2023-08-01,BUY_93183,Canada,engineering,,190313371,3444,,0,0.37,1,1,1,7400,0,0.49,,0.51,0,1,1,0,-0.01
116,2022-01-24,BUY_16792,UAE,electronics,7161.0,91849339,2610,ISO9001,1,0.18,1,0,0,16275,1,0.17,whatsapp,0.51,0,0,0,0,-0.25
117,2024-11-14,BUY_21823,USA,pharmaceuticals,,168146337,4322,EU-GMP,0,0.73,0,0,0,8018,1,0.43,linkedin,0.51,1,1,0,1,-0.41
118,2024-12-20,BUY_52991,Germany,solar,,8457614,4565,,1,0.09,1,1,0,8578,1,0.53,call,0.51,1,0,1,1,0.31
119,2023-04-19,BUY_38539,UK,solar,,42695474,6125,,1,0.04,1,Unknown,0,17597,0,0.23,linkedin,0.51,1,0,0,0,0.04
120,2023-09-03,BUY_90628,France,electronics,4188.0,69912361,3358,ISO9001,1,0.71,1,1,0,6693,0,0.96,,0.51,1,1,0,0,0.15
121,2021-08-06,,USA,chemicals,4788.0,48775708,4051,RoHS,0,0.31,0,Unknown,1,13332,0,0.48,call,0.36,0,0,1,1,-0.76
122,2021-09-04,BUY_67801,Germany,solar,2953.0,186440839,5453,TUV,1,0.79,0,1,1,2757,1,0.27,,0.24,1,0,1,1,0.12
123,2023-06-03,BUY_24386,France,pharmaceuticals,,145553672,1432,FDA,0,0.86,0,1,1,6333,1,0.23,call,0.51,0,1,1,1,0.62
124,2022-01-22,BUY_66085,Japan,chemicals,,122491512,6286,,0,0.28,0,0,1,13887,0,0.26,whatsapp,0.91,1,1,1,0,0.76
125,2024-06-11,BUY_93870,UK,engineering,3637.0,114226966,1641,,0,0.82,0,Unknown,1,8344,1,0.64,whatsapp,0.51,0,1,1,1,0.02
126,2023-01-28,BUY_65088,Japan,solar,6299.0,39303007,1373,,0,0.57,0,1,1,17761,0,0.76,whatsapp,0.51,1,1,1,1,0.27
127,2022-09-22,BUY_78595,Singapore,medical devices,1323.0,102415272,4256,,0,0.55,1,0,0,19694,0,0.48,,0.51,1,0,1,0,0.32
128,2024-07-03,BUY_61290,France,solar,2875.0,155969314,1574,TUV,1,0.46,0,Unknown,1,3116,0,0.03,email,0.51,1,1,1,0,-0.08
129,2022-01-23,BUY_49793,Japan,engineering,3579.0,84820479,4760,,1,0.8,0,Unknown,1,628,1,0.27,email,0.51,0,1,1,1,-0.83
130,2021-09-12,BUY_79373,France,electronics,4020.0,166566908,4441,,0,0.62,0,Unknown,1,7018,0,0.93,,0.28,0,0,0,0,-0.07
131,2021-05-12,BUY_67968,USA,auto parts,,146436634,3629,ISO9001,1,0.32,1,0,0,1852,0,0.19,,0.51,1,1,0,0,-0.98
132,2021-09-26,BUY_18497,Italy,auto parts,809.0,37027877,4746,,1,0.43,0,1,1,12855,1,0.61,linkedin,0.24,1,1,0,1,0.27
133,2022-08-12,BUY_24905,UAE,electronics,,28117517,3065,,1,0.4,1,Unknown,0,7909,0,0.7,email,0.51,0,1,1,1,0.68
134,2021-01-10,BUY_11738,Netherlands,electronics,,87175760,4379,,1,0.44,0,0,1,4118,1,0.5,email,0.51,1,0,0,1,-0.32
135,2023-02-28,BUY_70494,Netherlands,chemicals,,112319303,406,,1,0.7,0,1,1,12721,1,0.15,,0.51,1,1,0,1,0.08
136,2024-09-01,BUY_28971,UK,machinery,,198418012,5676,ISO9001,0,0.79,0,1,1,729,0,0.82,email,0.37,0,1,0,1,0.38
137,2024-10-21,BUY_38329,Italy,engineering,,152017005,3902,CE,1,0.06,1,Unknown,1,15411,1,0.86,whatsapp,0.1,0,1,0,0,0.04
138,2022-03-17,BUY_51149,UK,pharmaceuticals,,177278452,5357,,0,0.17,0,1,1,17125,1,0.2,email,0.51,1,0,0,1,0.33
139,2022-04-11,BUY_56253,UAE,engineering,,199348213,1454,,1,0.96,1,Unknown,1,10345,1,0.08,,0.51,0,0,1,0,-0.79
140,2022-01-27,BUY_46130,Japan,auto parts,5588.0,130357772,2711,ISO9001,0,0.65,1,1,0,14838,0,0.14,,0.48,1,0,1,1,0.51
141,2021-12-11,BUY_21527,USA,medical devices,,73613918,5644,,0,0.89,0,Unknown,0,15081,1,0.29,call,0.51,0,1,1,0,0.42
142,2022-05-25,BUY_62172,Australia,engineering,,96465692,5342,ISO14001,1,0.97,0,0,1,11048,0,0.06,,0.26,0,1,1,1,0.34
143,2022-06-23,BUY_53757,France,textiles,7202.0,159274110,2401,ISO9001,1,0.75,0,Unknown,1,16757,0,0.19,whatsapp,0.51,1,1,1,0,0.62
144,2022-04-04,BUY_32606,Italy,electronics,,6841818,3862,ISO9001,1,0.7,1,0,1,12873,0,0.53,call,0.51,0,1,1,0,-0.87
145,2023-05-09,BUY_24608,UK,chemicals,5909.0,62273492,6593,ISO14001,1,0.27,0,0,1,6893,0,0.96,,0.51,0,0,1,1,-0.78
146,2024-12-03,BUY_64927,UK,engineering,,115796261,5275,ISO14001,0,0.24,1,1,0,6919,0,0.65,,0.99,1,1,1,0,-0.72
147,2021-08-26,BUY_32985,Netherlands,it software,6178.0,12308089,5339,ISO27001,1,0.41,1,Unknown,0,15528,1,0.79,email,0.51,1,0,0,1,-0.44
148,2024-08-10,BUY_56328,UAE,solar,,110627227,6255,IEC,0,0.29,1,1,0,4610,0,0.13,whatsapp,0.75,1,0,1,1,-0.09
149,2021-12-15,BUY_35493,France,solar,,131933984,4948,IEC,0,0.35,1,1,0,15001,0,0.12,linkedin,0.4,1,0,1,0,-0.21
150,2024-05-31,BUY_30852,Netherlands,medical devices,545.0,111643056,6942,,1,0.41,0,Unknown,0,12821,0,0.01,,0.51,1,1,0,1,0.14
151,2024-11-05,BUY_34232,France,solar,5697.0,75041002,4430,UL,1,0.69,1,1,0,5516,0,0.45,call,0.51,1,0,1,0,-0.57
152,2021-05-12,BUY_85208,Italy,electronics,,22197598,2961,ISO9001,1,0.69,0,0,1,5929,1,0.68,call,0.51,1,0,1,0,-0.85
153,2022-10-06,BUY_38619,USA,pharmaceuticals,7827.0,186806100,6722,,1,0.53,1,1,0,1004,1,0.87,,0.06,1,1,1,1,0.09
154,2022-04-09,BUY_31933,Australia,machinery,1030.0,52615609,4908,,1,0.08,0,Unknown,0,15511,1,0.92,linkedin,0.65,0,0,0,1,0.38
155,2024-07-14,BUY_54872,Germany,electronics,3367.0,121691727,2326,ISO9001,0,0.96,0,0,1,13636,1,0.18,,0.51,1,0,0,0,-0.1
156,2024-03-28,BUY_88242,Japan,machinery,,75502879,6419,,0,0.09,0,1,0,308,0,0.48,call,0.51,1,0,0,0,-0.2
157,2023-10-20,BUY_21856,Japan,chemicals,,9050262,6796,,0,0.25,1,1,0,4832,1,0.41,,0.51,0,1,1,0,0.44
158,2022-10-10,BUY_11890,France,it software,1365.0,127359739,2765,GDPR,1,0.96,1,1,0,10835,1,0.18,whatsapp,0.68,0,0,1,1,0.07
159,2021-07-30,BUY_42540,Australia,machinery,4066.0,10544461,3955,,1,0.8,0,Unknown,0,15714,0,0.63,email,0.51,1,1,0,1,-0.72
160,2024-05-12,BUY_16341,Australia,engineering,60.0,82467422,5639,,0,0.24,1,0,0,17889,1,0.59,call,0.51,1,0,0,1,0.58
161,2022-11-28,BUY_72941,USA,medical devices,,65612452,2183,ISO9001,0,0.83,0,1,1,6658,0,0.22,email,0.51,0,1,1,0,-0.02
162,2022-01-19,BUY_36045,Australia,textiles,,33889768,1351,ISO9001,0,0.05,0,Unknown,0,7104,1,0.21,whatsapp,0.51,1,0,1,1,0.66
163,2022-04-03,BUY_25599,USA,chemicals,3497.0,65713281,4027,RoHS,1,0.21,1,0,1,11438,1,0.43,email,0.51,0,0,1,0,0.21
164,2021-02-23,BUY_97508,Italy,machinery,,155038215,5367,,1,0.48,1,1,1,17033,0,0.66,linkedin,0.51,0,1,0,0,0.38
165,2024-06-12,BUY_92768,UK,chemicals,4292.0,126973546,3378,,1,0.97,0,0,1,7198,0,0.57,linkedin,0.51,0,1,1,0,-0.4
166,2024-10-14,BUY_65499,Singapore,electronics,6278.0,93191869,358,ISO9001,0,0.53,1,Unknown,0,10758,0,0.7,linkedin,0.51,1,0,1,1,-0.63
167,2023-02-14,BUY_99666,Japan,machinery,7148.0,13512053,3884,,0,0.54,1,1,0,16114,0,0.5,email,0.51,0,0,0,1,-0.63
168,2024-03-26,BUY_30618,Canada,auto parts,,168938053,5624,,0,0.14,0,Unknown,0,14882,0,0.7,email,0.51,1,0,0,0,0.97
169,2022-01-14,BUY_39912,Japan,chemicals,1552.0,95627679,2612,,0,0.45,0,0,1,16516,1,0.65,whatsapp,1.0,0,0,1,1,0.87
170,2024-10-03,BUY_40258,UK,textiles,5543.0,54398821,6161,,0,0.38,1,0,1,11993,0,0.27,call,0.51,0,0,1,0,-0.21
171,2023-02-03,BUY_10284,Germany,it software,2146.0,100084493,3533,,0,0.28,1,0,0,5200,1,0.89,,0.41,1,1,0,0,0.98
172,2021-09-28,BUY_81329,France,medical devices,,166160367,6119,ISO9001,1,0.11,1,1,1,6919,1,0.59,email,0.51,1,1,0,1,0.86
